schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
public	networking_events	Users manage their networking events	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	niche_analyses	Users manage their niche analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	niche_packages	Users manage their niche packages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	niche_research	Users manage their niche research	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	notes	Users manage own notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	notes	Users manage their notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	notifications	Users manage own notifications	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	notifications	Users manage their own notifications	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	nps_responses	Users manage their NPS responses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	nps_surveys	Users manage their NPS surveys	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	offboarding_checklists	Users manage offboarding checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	okr_key_results	Users manage their key results	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	okr_objectives	Users manage their objectives	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_checklists	Users manage their checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_checklists	Users manage their onboarding checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_flows	Users manage their onboarding flows	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_items	Users manage onboarding items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_items	Users manage their onboarding items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_kits	Users manage onboarding kits	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_progress	Users manage their onboarding	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_progress	onboarding_progress_user_363	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_runs	Users manage their onboarding runs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_steps	onboarding_steps_user_363	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_template_items	Users manage template items	PERMISSIVE	{public}	ALL	(EXISTS ( SELECT 1
   FROM onboarding_templates t
  WHERE ((t.id = onboarding_template_items.template_id) AND (t.user_id = auth.uid()))))	(EXISTS ( SELECT 1
   FROM onboarding_templates t
  WHERE ((t.id = onboarding_template_items.template_id) AND (t.user_id = auth.uid()))))
public	onboarding_templates	Users manage their onboarding templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	onboarding_templates	onboarding_templates_user_363	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	opportunity_evaluations	Users manage opportunity evaluations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_campaigns	Users manage campaigns	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_campaigns	Users manage their campaigns	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_contacts	Users manage their outreach contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_dm_sets	Users manage their outreach dm sets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_messages	Users manage their messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_messages	Users manage their outreach messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_prospects	Users manage prospects	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_prospects	Users manage their prospects	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_sequences	Users manage outreach sequences	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	outreach_sequences	Users manage their sequences	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_chasers	Users manage their chasers	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_escalations	Users manage their escalations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_milestones	Users manage their milestones	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_reminder_log	Users view their reminder log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_reminder_sequences	Users manage their reminder sequences	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	payment_schedules	Users manage their payment schedules	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	personal_expenses	Users manage their personal expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pipeline_leads	Users manage their pipeline	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pipeline_leads	Users manage their pipeline leads	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pitch_decks	Users manage their pitch decks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pitch_practice_sessions	Users manage pitch practice	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pomodoro_sessions	Users manage their pomodoro sessions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pomodoro_settings	Users manage their pomodoro settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portal_files	Users manage portal files	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portal_messages	Freelancer manages their messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portal_messages	Users manage their portal messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portfolio_contact_submissions	Users manage their portfolio contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portfolio_faqs	Users manage their FAQs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portfolio_items	Portfolio items are public	PERMISSIVE	{public}	SELECT	true	
public	portfolio_items	Users manage their portfolio	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	portfolio_settings	Users manage their portfolio	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	positioning_statements	Users manage positioning statements	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	press_kits	Users manage press kits	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pricing_pages	Public can view published pricing pages	PERMISSIVE	{public}	SELECT	(is_published = true)	
public	pricing_pages	Users manage their pricing pages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pricing_strategies	Users manage their pricing strategies	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	productivity_logs	productivity_logs_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	productivity_sessions	Users manage their sessions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	professional_bios	Users manage their bios	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	profile_inquiries	Users view their profile inquiries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	profile_optimizations	Users manage profile optimizations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	profiles	Service role can insert profiles	PERMISSIVE	{public}	INSERT		true
public	profiles	Users can update own profile	PERMISSIVE	{public}	UPDATE	(auth.uid() = id)	
public	profiles	Users can view own profile	PERMISSIVE	{public}	SELECT	(auth.uid() = id)	
public	project_briefs	Users manage their project briefs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_budgets	Users manage their project budgets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_checkins	Users manage their checkins	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_checklists	Users manage their checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_closeouts	Users manage their closeouts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_costs	Users manage project costs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_debriefs	Users manage project debriefs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_decisions	Users manage their decisions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_deliverables	Users manage their deliverables	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_estimates	Users manage their estimates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_files	Users manage their project files	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_handoffs	Public view by token	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	project_handoffs	Users manage their handoffs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_inquiries	Freelancers see their inquiries	PERMISSIVE	{public}	ALL	(auth.uid() = freelancer_user_id)	(auth.uid() = freelancer_user_id)
public	project_labels	Users manage their labels	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_labels	Users manage their project labels	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_milestones	Users manage their milestones	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_notes	Users manage their project notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_onboarding	Users manage their project onboarding	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_pnl_reports	Users manage their pnl reports	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_resources	Users manage their resources	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_retrospectives	Users manage their retrospectives	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_risks	Users manage their project risks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_scope_changes	Users manage their scope changes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_status_pages	Users manage their status pages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_status_reports	Users manage their status reports	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_surveys	Users manage their project surveys	PERMISSIVE	{authenticated}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_tags	Users manage their project tags	PERMISSIVE	{public}	ALL	(EXISTS ( SELECT 1
   FROM projects
  WHERE ((projects.id = project_tags.project_id) AND (projects.user_id = auth.uid()))))	(EXISTS ( SELECT 1
   FROM projects
  WHERE ((projects.id = project_tags.project_id) AND (projects.user_id = auth.uid()))))
public	project_tasks	Users manage their own tasks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_tasks	Users manage their tasks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_templates	Users manage their own templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_templates	Users manage their project templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_templates_v2	Users manage their templates v2	PERMISSIVE	{public}	ALL	((user_id = auth.uid()) OR (is_builtin = true))	(auth.uid() = user_id)
public	project_updates	Public read project updates	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	project_updates	Users manage their project updates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	project_velocity_logs	Users manage velocity logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	projects	Users manage own projects	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	proof_walls	Users manage their proof wall	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_documents	Users manage their proposal documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_draft_versions	proposal_draft_versions_owner	PERMISSIVE	{public}	ALL	(EXISTS ( SELECT 1
   FROM proposal_drafts
  WHERE ((proposal_drafts.id = proposal_draft_versions.proposal_id) AND (proposal_drafts.user_id = auth.uid()))))	
public	proposal_drafts	proposal_drafts_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_drafts	proposal_drafts_public_review	PERMISSIVE	{public}	SELECT	(review_token IS NOT NULL)	
public	proposal_profile	Users manage their proposal profile	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_templates	Users manage own templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_templates	Users manage their proposal templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	proposal_templates	Users see builtin and own proposal templates	PERMISSIVE	{public}	SELECT	((is_builtin = true) OR (auth.uid() = user_id))	
public	proposal_templates	Users see own and builtin templates	PERMISSIVE	{public}	SELECT	((auth.uid() = user_id) OR (is_builtin = true))	
public	proposal_views	Users can view analytics for their own proposals	PERMISSIVE	{authenticated}	SELECT	(proposal_id IN ( SELECT proposal_drafts.id
   FROM proposal_drafts
  WHERE (proposal_drafts.user_id = auth.uid())))	
public	quarterly_reviews	Users manage quarterly reviews	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	questionnaire_responses	Users manage their responses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	questionnaires	Users manage their questionnaires	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	quote_items	Users manage their quote items	PERMISSIVE	{public}	ALL	(EXISTS ( SELECT 1
   FROM quotes
  WHERE ((quotes.id = quote_items.quote_id) AND (quotes.user_id = auth.uid()))))	
public	quotes	Users manage their quotes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_calculations	Users manage their rate calculations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_card_services	Public read rate_card_services	PERMISSIVE	{public}	SELECT	true	
public	rate_card_services	Users manage their rate card	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_card_services	Users manage their rate card services	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_card_services	Users manage their services	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	rate_card_settings	Public read rate_card_settings	PERMISSIVE	{public}	SELECT	true	
public	rate_card_settings	Users manage their rate card settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	rate_card_v2	Users manage rate cards v2	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_cards	Users manage their rate cards	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_history	Users manage their rate history	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_increase_history	Users manage their rate history	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_increase_letters	Users manage rate increase letters	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_increase_plans	Users manage their rate plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	rate_negotiations	Users manage their rate negotiations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	recurring_expenses	Users manage their recurring expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	recurring_invoices	Users manage their recurring invoices	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	recurring_schedules	Users manage their recurring schedules	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	recurring_task_log	Users manage their recurring task log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	recurring_tasks	Users manage their recurring tasks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	referral_contacts	Users manage their referral contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	referral_requests	Users manage referral requests	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	referral_rewards	Users manage their referral rewards	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	referrals	Users manage referrals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	referrals	Users manage their referrals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	reminder_log	Users view their reminder log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	reminder_settings	Users manage their reminder settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_agreements	Users manage their retainer agreements	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_contract_payments	Users manage their retainer contract payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_contracts	Users manage their retainer contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_contracts	Users manage their retainers	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_hours	Users manage their retainer hours	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_mgr_agreements	Users manage retainer mgr agreements	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_mgr_months	Users manage retainer mgr months	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_payments	Users manage retainer payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_proposals	Users manage their retainer proposals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainer_usage	Users manage their retainer usage	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	retainers	Users manage their retainers	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_forecasts	Users manage revenue forecasts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_goals	Users manage their goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_goals	Users manage their own goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_goals	Users manage their own revenue goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_goals	Users manage their revenue goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_goals_v2	Users manage their revenue goals v2	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_leak_analyses	Users manage own revenue leak analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_leak_analyses	Users manage revenue leak analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	revenue_milestones	Users manage their milestones	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	risk_assessments	Users manage their risk assessments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	runway_settings	Users manage their runway settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	satisfaction_ratings	Users manage their satisfaction ratings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	satisfaction_surveys	Users manage their surveys	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	savings_goals	Users manage their savings goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	savings_snapshots	Users manage their savings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	savings_transactions	Users manage their savings transactions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scenario_plans	Users manage their scenario plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	schedule_preferences	Users manage their schedule preferences	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_analyses	Users manage their analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_changes	Users manage scope changes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_changes	Users manage their scope changes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_checks	Users manage their scope checks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_estimates	Users manage scope estimates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	scope_estimates	Users manage their scope estimates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	service_descriptions	Users manage service descriptions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	service_launch_plans	Users manage service launch plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	service_packages	Public can view active service packages	PERMISSIVE	{public}	SELECT	(is_active = true)	
public	service_packages	Users manage their own packages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	service_packages	Users manage their service packages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	service_pages	Users manage their service pages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	session_notes	session_notes_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	skill_learning_goals	Users manage their skill learning goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	skills	Users manage their skills	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	skills_gap_analyses	Users manage skills gap analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sla_documents	Users manage their sla documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	smtp_connections	Users manage own smtp connection	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	smtp_connections	Users manage own smtp connections	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	snippets	Users manage their snippets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	snooze_reminders	Users manage their reminders	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	social_bios	Users manage their bios	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sop_documents	Users manage SOP documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sow_documents	Users manage their SOW documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sprint_plans	sprint_plans_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	standup_logs	Users manage their standup logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	standups	Users manage their standups	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	status_reports	Users manage their status reports	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	status_updates	Users manage their status updates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sub_assignments	Users manage sub assignments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	sub_payments	Users manage sub payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subcontractor_assignments	Users manage subcontractor assignments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subcontractor_assignments	Users manage their sub assignments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subcontractor_payments	Users manage subcontractor payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subcontractors	Users manage subcontractors	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subcontractors	Users manage their subcontractors	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	subscription_events	users read own subscription events	PERMISSIVE	{public}	SELECT	((subscription_id IS NULL) OR (EXISTS ( SELECT 1
   FROM subscriptions s
  WHERE ((s.id = subscription_events.subscription_id) AND (s.user_id = auth.uid())))))	
public	subscriptions	users read own subscriptions	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	support_tickets	Users create tickets	PERMISSIVE	{public}	INSERT		(auth.uid() = user_id)
public	support_tickets	Users see own tickets	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	survey_responses	Public can insert responses	PERMISSIVE	{public}	INSERT		true
public	survey_responses	Survey owners can read responses	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1
   FROM client_surveys cs
  WHERE ((cs.id = survey_responses.survey_id) AND (cs.user_id = auth.uid()))))	
public	survey_responses	Users manage their survey responses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
